Country,City,Street,Crime Type,Date,Latitude,Longitude
Canada,Edmonton,Jules Cove Lodge,Assault,2023-04-25,72.6434,-130.8398
Canada,Edmonton,Arlo Courts Village,Burglary,2023-05-06,15.0605,34.1333
Canada,Hamilton,Trace Mountain Shoal,Burglary,2023-03-16,-1.3431,-151.4523
Canada,Edmonton,Donavon Forest Islands,Fraud,2023-08-14,-68.9576,68.3531
Canada,Kitchener,Tony Prairie Meadows,Fraud,2023-09-20,82.2897,160.9093
Canada,Vancouver,Daugherty Garden Burg,Assault,2023-08-29,31.0933,-76.1688
Canada,Montreal,Bednar Road Forges,Burglary,2023-09-08,84.9817,144.1322
Canada,Quebec City,Else Centers Ferry,Burglary,2023-03-24,-55.4918,-164.7068
Canada,Ottawa,Ashlynn Trafficway Lane,Theft,2023-10-27,87.9090,-48.2992
Canada,Quebec City,Gibson Row Creek,Theft,2023-06-22,19.2153,38.2867
Canada,Toronto,Kendrick Keys Views,Fraud,2023-09-19,-68.8008,-55.0798
Canada,Calgary,Konopelski Dam Squares,Assault,2023-08-07,-33.7614,20.1989
Canada,Kitchener,Huels Parkway Garden,Vandalism,2023-10-31,-35.2242,-109.7028
Canada,Quebec City,McKenzie Way Heights,Burglary,2023-07-25,24.4805,16.6633
Canada,Edmonton,Gottlieb Courts Valley,Theft,2023-06-11,55.8663,-108.8067
Canada,Montreal,Elisabeth Island Mount,Vandalism,2023-11-30,-78.5813,99.0390
Canada,Calgary,Trey Mountains Ville,Burglary,2023-12-18,-5.8159,-177.9944
Canada,Edmonton,Jed Spring Trace,Fraud,2023-09-15,-63.3992,76.8934
Canada,Calgary,Swaniawski Islands Station,Vandalism,2023-09-26,-71.5590,101.1184
Canada,Montreal,Cruickshank Trace Freeway,Assault,2023-03-29,84.0847,68.6134
Canada,Toronto,Meda Trail Street,Theft,2023-08-17,-74.1382,-39.8145
Canada,Calgary,Gennaro Road Tunnel,Fraud,2023-09-15,70.1924,109.1174
Canada,Ottawa,Vergie Pass Crescent,Theft,2023-10-13,61.0502,-88.4382
Canada,Winnipeg,Hoppe Lakes Island,Fraud,2023-05-21,-84.0729,-95.9825
Canada,Kitchener,Jeffry Skyway Springs,Assault,2023-11-15,-80.9284,-125.5897
Canada,Ottawa,Terry Pike Club,Fraud,2023-12-24,59.2319,-104.1237
Canada,Ottawa,Hoppe Mews Way,Theft,2023-09-21,51.2905,88.0457
Canada,Hamilton,Gorczany Way Extension,Assault,2023-12-02,83.6153,-108.4794
Canada,Montreal,Weissnat Key Trafficway,Vandalism,2023-04-17,5.5802,38.0122
Canada,Winnipeg,Gerhold Meadows Mills,Assault,2023-06-22,-72.1417,-109.8334
Canada,Toronto,Eleanore Unions Corners,Vandalism,2023-10-17,10.8426,115.2948
Canada,Hamilton,Angelo Crescent Village,Vandalism,2023-02-25,-63.1914,-15.8318
Canada,Vancouver,Evangeline Estates Fork,Fraud,2023-02-24,36.0866,113.5877
Canada,Hamilton,Zulauf Hill Hills,Theft,2023-07-15,51.6845,89.7309
Canada,Vancouver,Malinda Road Cove,Theft,2023-01-26,-12.1709,-40.0808
Canada,Winnipeg,Anne Curve Cliff,Assault,2023-06-22,-35.9789,56.8898
Canada,Ottawa,Beer Shores Forge,Assault,2023-07-12,49.7270,-134.3583
Canada,Winnipeg,Gibson Pass Islands,Vandalism,2023-08-31,50.9915,134.6799
Canada,Montreal,Kub Highway Canyon,Theft,2023-05-22,51.8562,-152.3088
Canada,Winnipeg,Daniel Wells Spurs,Theft,2023-02-21,11.9519,145.5327
Canada,Quebec City,Elbert Point Rest,Vandalism,2023-10-11,87.3995,-173.4748
Canada,Vancouver,Toni Pine Streets,Theft,2023-08-06,18.9538,-9.4619
Canada,Toronto,Scottie Lodge Estates,Theft,2023-03-19,-39.9924,155.0912
Canada,Calgary,Heller Estates Circle,Vandalism,2023-04-21,-7.3433,17.0992
Canada,Calgary,Pfeffer Freeway Run,Theft,2023-10-27,-48.0207,16.6982
Canada,Ottawa,Barrows Lodge Overpass,Theft,2023-10-17,49.2772,79.0803
Canada,Hamilton,Reichert Cove Ford,Fraud,2023-10-01,-74.3593,-54.9381
Canada,Calgary,Koelpin Drive Ways,Burglary,2023-02-09,41.1190,-166.0454
Canada,Montreal,Jaskolski Pine Station,Theft,2023-03-30,-19.9290,65.3573
Canada,Edmonton,Abshire Views Crest,Burglary,2023-03-17,-66.7919,-103.6807
Canada,Winnipeg,Schmidt Avenue Creek,Burglary,2023-06-03,-34.7111,163.4913
Canada,Quebec City,Feeney Falls Lake,Vandalism,2023-05-07,88.9278,81.2580
Canada,Hamilton,Bogan Greens Ville,Fraud,2023-08-04,-70.5263,-43.0582
Canada,Edmonton,Halle Loop Mews,Burglary,2023-09-12,-70.2268,-37.5595
Canada,Montreal,Freddy Spurs Crossing,Vandalism,2023-10-29,-69.8106,51.1027
Canada,Edmonton,Connie Cape Ridges,Assault,2023-10-11,-65.9791,45.1993
Canada,Kitchener,Emard Flat Groves,Vandalism,2023-03-15,-54.0677,-53.1022
Canada,Vancouver,Stefan Lights Field,Fraud,2023-10-07,34.1336,-105.0202
Canada,Vancouver,Kub Ranch Crossroad,Assault,2023-08-02,-52.4036,-174.4663
Canada,Toronto,Cary Stream Locks,Assault,2023-05-03,16.0976,-149.6536
Canada,Toronto,O'Conner Plain Highway,Fraud,2023-11-27,77.9811,-170.7865
Canada,Edmonton,Drake Path Ville,Burglary,2023-02-20,-12.9616,-77.6164
Canada,Hamilton,Jody Fork Mountains,Fraud,2023-01-22,21.1558,40.0464
Canada,Winnipeg,Payton Spurs Locks,Vandalism,2023-11-09,-54.4104,116.4965
Canada,Vancouver,Deckow Radial Shore,Fraud,2023-11-04,35.6100,-20.2244
Canada,Winnipeg,Heather Hollow Squares,Vandalism,2023-12-30,-43.4506,120.2958
Canada,Quebec City,Terrell Rapid Inlet,Assault,2023-01-28,84.1706,-86.1299
Canada,Ottawa,Considine Mill Mills,Theft,2023-07-07,-56.2009,17.8235
Canada,Winnipeg,Reymundo Circles Row,Burglary,2023-06-02,49.0244,49.3347
Canada,Vancouver,Osinski Causeway Streets,Assault,2023-12-06,-60.2447,133.5774
Canada,Quebec City,Kertzmann Flat Knoll,Assault,2023-01-27,-35.7616,-24.7712
Canada,Ottawa,Carleton Mountains Overpass,Fraud,2023-11-02,84.0223,-155.7132
Canada,Montreal,Cathy Isle Harbor,Fraud,2023-05-12,10.5876,103.3997
Canada,Hamilton,Adelbert Gateway Divide,Fraud,2023-02-05,-89.5715,55.0099
Canada,Ottawa,Tatum Curve Spring,Fraud,2023-10-07,85.0759,141.6993
Canada,Calgary,Schiller Route Rapids,Theft,2023-03-06,83.7181,95.3444
Canada,Toronto,Andres Loaf Freeway,Assault,2023-07-05,72.6268,-71.4389
Canada,Edmonton,Loyal Avenue Park,Fraud,2023-12-24,20.8319,159.4007
Canada,Quebec City,Kreiger Turnpike Highway,Assault,2023-09-30,-80.6689,-75.7243
Canada,Calgary,Funk Trafficway Turnpike,Fraud,2023-01-21,33.0685,58.8969
