Country,City,Street,Crime Type,Date,Latitude,Longitude
United Kingdom,Manchester,Bergnaum Branch Causeway,Fraud,2023-07-05,-39.5213,140.7402
United Kingdom,Glasgow,Tatum Valleys Terrace,Assault,2023-02-28,42.9650,127.1462
United Kingdom,Sheffield,Ratke Rue Hollow,Fraud,2023-09-30,69.3461,-66.2959
United Kingdom,Bristol,Hadley Highway Pines,Burglary,2023-02-28,-2.3655,-63.1816
United Kingdom,Manchester,Astrid Overpass Run,Theft,2023-01-12,-65.6070,-91.5475
United Kingdom,Manchester,Jaquan Crossroad Ville,Vandalism,2023-12-20,-13.0967,-120.6537
United Kingdom,Glasgow,Waters Flat Street,Vandalism,2023-06-22,-14.9569,-86.8506
United Kingdom,Sheffield,Esteban Harbors Cove,Assault,2023-02-13,-52.2586,75.5812
United Kingdom,Glasgow,Sabryna Station Summit,Vandalism,2023-05-28,-33.6823,171.7842
United Kingdom,Manchester,Tremayne Grove Center,Theft,2023-04-06,-38.0392,69.5225
United Kingdom,Liverpool,Kozey Cape Light,Fraud,2023-08-31,-38.6507,50.5958
United Kingdom,Manchester,Emmett Coves Valleys,Burglary,2023-02-01,-79.9484,-43.4395
United Kingdom,Birmingham,Maddison Knoll View,Burglary,2023-05-10,-0.9035,111.5363
United Kingdom,Liverpool,Daisha Summit Via,Fraud,2023-03-25,23.5906,-14.3958
United Kingdom,Nottingham,Quitzon Forest Lodge,Theft,2023-11-19,34.0744,161.2038
United Kingdom,Manchester,Kane Wall Row,Theft,2023-07-11,-8.6803,90.1690
United Kingdom,London,Ibrahim Stream Causeway,Theft,2023-03-10,32.6666,-142.1555
United Kingdom,Sheffield,Layne Plaza Plain,Theft,2023-05-16,22.4419,-95.9005
United Kingdom,Manchester,Beatty Haven Hill,Fraud,2023-02-01,14.6525,-82.4543
United Kingdom,Sheffield,Murray Points Circles,Assault,2023-03-14,81.9414,171.2547
United Kingdom,Nottingham,Graham Route Avenue,Assault,2023-06-09,-13.1549,23.4592
United Kingdom,Nottingham,Borer Corner Loaf,Fraud,2023-06-08,26.9634,77.0863
United Kingdom,Nottingham,Corkery Stravenue Divide,Burglary,2023-03-13,-64.0223,135.3770
United Kingdom,Leeds,Borer Trail Glen,Theft,2023-06-19,-16.3129,164.6160
United Kingdom,Leeds,Schultz Square Springs,Assault,2023-10-02,23.5226,-42.8480
United Kingdom,Leeds,Homenick Course Fork,Burglary,2023-12-12,85.4783,168.1591
United Kingdom,Newcastle,Johns Heights Vista,Fraud,2023-07-22,-15.0813,67.3147
United Kingdom,Glasgow,Cartwright Green Locks,Fraud,2023-03-21,2.9070,-166.5914
United Kingdom,Glasgow,Ullrich Row Manor,Fraud,2023-02-26,83.9331,163.4182
United Kingdom,Bristol,Treutel Passage Ways,Vandalism,2023-11-03,-0.8449,-93.2977
United Kingdom,Glasgow,Kessler Village Corners,Assault,2023-06-05,-44.1051,-147.8930
United Kingdom,London,Richard Summit Passage,Burglary,2023-09-10,24.4704,48.2516
